LINEA;CAF;NOMBRE MOMENTANEO;CIUDAD;DEPARTAMENTO;FO DIA ACTUAL;ÁREA TOTAL;AREA REQUERIDA;ÁREA SALA DE ESPERA;Sala Espera;ÁREA ALMACENAMIENTO;No CAJAS;Modulos Front - Hoy;No CAJAS HOLGURA;CAPACIDAD SALA DE ESPERA;Sillas;CANON;CANON X FO;CANON X M2;CONSORCIO;CAPACIDAD;HOLGURA
AMB;CAF 244;SAF CAMPO DE LA CRUZ;SAN SEBASTIAN DE BUENAVISTA;MAGDALENA;173;71,15;95,02;20,25;39,96;40,95;2;2;2;16;9,25; $ -   ; $ -   ; $ -   ;SI;200;27
AMB;CAF 245;LA JAGUA DE IBIRICO;MELGAR;TOLIMA;164;84,91;91,94;23,45;38,74;47,5;3;2;2;32;36; $ 1.564.256 ; $ 9.556 ; $ 18.423 ;NO;300;136
AMB;CAF 246;SAF TURBANA;ZAMBRANO;BOLIVAR;0;86;94,10;8;39,60;33,95;2;2;0;6;9,25; $ -   ; $ -   ; $ -   ;SI;200;200
AMB;CAF 247;AVENIDA FERROCARRIL;CIRCASIA;QUINDIO;0;90,77;92,86;15,96;39,11;20,76;2;2;1;12;36; $ 1.212.431 ; $ -   ; $ 13.357 ;NO;200;200
AMB;CAF 248;SAF SAN SEBASTIAN;BOGOTA;CUNDINAMARCA;136;123,58;146,53;26,14;50,85;85,96;7;3;0;15;48; $ -   ; $ -   ; $ -   ;SI;700;564
AMB;CAF 249;MELGAR;CICUCO;BOLIVAR;162;71,25;92,90;21,35;39,12;40,03;3;2;0;16;9; $ 2.618.000 ; $ 16.166 ; $ 36.744 ;NO;300;138
AMB;CAF 250;ZAMBRANO;TALAIGUA NUEVO;BOLIVAR;176;113;94,97;38,62;39,94;63,22;2;2;2;28;9,25; $ 7.485.798 ; $ 42.439 ; $ 66.246 ;NO;200;24
AMB;CAF 251;CIRCASIA;SAN CRISTOBAL;BOLIVAR;181;116,44;88,06;33,57;37,21;28,9;5;2;0;16;8,5; $ 1.194.700 ; $ 6.607 ; $ 10.260 ;NO;500;319
AMB;CAF 252;CENTRO EMPRESARIAL;HATILLO DE LOBA;BOLIVAR;158;100;82,73;34,78;35,10;41;1;2;2;28;32; $ 6.624.600 ; $ 41.822 ; $ 66.246 ;NO;100;-58
AMB;CAF 253;SAF CICUCO;LETICIA;AMAZONAS;0;92,73;94,93;22,09;39,93;30,42;3;2;1;18;37; $ -   ; $ -   ; $ -   ;SI;300;300
AMB;CAF 254;SAF TALAIGUA;CALI;VALLE DEL CAUCA;147;29,85;90,55;0;38,20;23,3;3;2;0;0;35; $ -   ; $ -   ; $ -   ;SI;300;153
AMB;CAF 255;SAF SAN CRISTOBAL;NEIVA;HUILA;97;193,63;128,36;25,48;40,20;42,55;3;3;0;12;37; $ -   ; $ -   ; $ -   ;SI;300;203
AMB;CAF 256;HATILLO DE LOBA;BOGOTA;CUNDINAMARCA;0;53,8;96,54;18,5;40,56;29,32;2;2;1;10;38; $ 3.464.236 ; $ -   ; $ 64.391 ;NO;200;200
AMB;CAF 257;LETICIA;VILLAVICENCIO;META;76;225;160,90;130,78;54,94;79,89;6;4;2;48;52; $ 5.764.749 ; $ 76.180 ; $ 25.621 ;NO;600;524
AMB;CAF 258;ROSARIO AMBULATORIO;MOMIL;CORDOBA;97;80;86,18;29;36,47;44;3;2;1;24;33; $ 3.355.600 ; $ 34.626 ; $ 41.945 ;NO;300;203
AMB;CAF 259;SAN JUAN;SOPLAVIENTO;BOLIVAR;145;25,86;86,80;9,32;36,71;16,54;3;2;0;7;8,5; $ 5.766.642 ; $ 39.884 ; $ 222.995 ;NO;300;155
AMB;CAF 260;PARQUE DE LA 93;LA UNION (SUCRE);SUCRE;38;39,4;85,37;12,24;36,15;21,57;2;2;0;8;8,25; $ 4.607.631 ; $ 120.467 ; $ 116.945 ;NO;200;162
AMB;CAF 261;BARZAL;PUERTO ESCONDIDO;CORDOBA;89;38,5;85,03;12,27;36,01;19,58;2;2;0;8;33; $ 1.614.883 ; $ 18.065 ; $ 41.945 ;NO;200;111
AMB;CAF 262;MOMIL;BOGOTA;CUNDINAMARCA;67;94,81;83,65;39,3;35,47;30,4;2;2;1;12;32; $ 6.104.911 ; $ 91.621 ; $ 64.391 ;NO;200;133
AMB;CAF 263;SOPLAVIENTO;JUAN DE ACOSTA;ATLANTICO;141;60,8;81,75;18,5;34,72;31,32;3;2;0;16;8; $ 2.899.674 ; $ 20.625 ; $ 47.692 ;NO;300;159
AMB;CAF 264;SAF LA UNION;COLOSO;SUCRE;41;59;86,18;21;36,47;31;2;2;1;16;33; $ -   ; $ -   ; $ -   ;SI;200;159
AMB;CAF 265;PUERTO ESCONDIDO;ACACIAS;META;109;149,25;117,14;38,13;42,47;69,02;3;3;1;9;40; $ 6.260.291 ; $ 57.654 ; $ 41.945 ;NO;300;191
AMB;CAF 266;LAS VILLAS;EL GUAMO;BOLIVAR;1;56;84,64;20;35,86;31,2;2;2;1;12;8,25; $ 3.709.776 ; $ 5.091.076 ; $ 66.246 ;NO;200;199
AMB;CAF 267;SAF JUAN DE ACOSTA;IPIALES;NARIÑO;0;146,6;89,17;30,96;37,65;41,49;3;2;0;20;35; $ -   ; $ -   ; $ -   ;SI;300;300
AMB;CAF 268;COLOSO;BOSCONIA;CESAR;126;108;79,51;32;33,83;54;2;2;0;36;31; $ 4.530.060 ; $ 35.952 ; $ 41.945 ;NO;200;74
AMB;CAF 269;ACACIAS;BOGOTA;CUNDINAMARCA;0;116,7;133,12;48,58;55,03;57,72;4;4;0;21;52; $ 2.438.000 ; $ -   ; $ 20.891 ;NO;400;400
AMB;CAF 270;SAF EL GUAMO;ALTOS DEL ROSARIO;BOLIVAR;77;49,94;88,02;15,6;37,20;27,63;1;2;2;9;8,5; $ -   ; $ -   ; $ -   ;SI;100;23
AMB;CAF 271;IPIALES;QUIMBAYA;QUINDIO;0;83,78;84,57;36,47;35,83;34,67;2;2;1;28;33; $ 3.514.152 ; $ -   ; $ 41.945 ;NO;200;200
AMB;CAF 272;BOSCONIA;SAN CAYETANO;BOLIVAR;1;31,5;78,24;9,03;33,33;19,83;2;2;0;7;7,5; $ -   ; $ -   ; $ -   ;SI;200;199
AMB;CAF 273;ALCALA;ARROYOHONDO;BOLIVAR;127;74;86,87;27;36,74;39,43;2;2;1;16;8,5; $ 2.666.182 ; $ 20.967 ; $ 36.029 ;NO;200;73
AMB;CAF 274;SAF ALTOS DEL ROSARIO;AGUADAS;CALDAS;15;48;76,29;17,8;32,55;19,5;2;2;0;15;29; $ -   ; $ -   ; $ -   ;SI;200;185
AMB;CAF 275;QUIMBAYA;ZONA BANANERA;MAGDALENA;94;16,93;77,67;5,23;33,10;10,03;2;2;0;4;30; $ 3.195.405 ; $ 33.887 ; $ 188.742 ;NO;200;106
